,year,population
0,1950.0,2.53
1,1951.0,2.57
2,1952.0,2.62
3,1953.0,2.67
4,1954.0,2.71
5,1955.0,2.76
6,1956.0,2.81
7,1957.0,2.86
8,1958.0,2.92
9,1959.0,2.97
10,1960.0,3.03
11,1961.0,3.08
12,1962.0,3.14
13,1963.0,3.2
14,1964.0,3.26
15,1965.0,3.33
16,1966.0,3.4
17,1967.0,3.47
18,1968.0,3.54
19,1969.0,3.62
20,1970.0,3.69
21,1971.0,3.77
22,1972.0,3.84
23,1973.0,3.92
24,1974.0,4.0
25,1975.0,4.07
26,1976.0,4.15
27,1977.0,4.22
28,1978.0,4.3
29,1979.0,4.37
30,1980.0,4.45
31,1981.0,4.53
32,1982.0,4.61
33,1983.0,4.69
34,1984.0,4.78
35,1985.0,4.86
36,1986.0,4.95
37,1987.0,5.05
38,1988.0,5.14
39,1989.0,5.23
40,1990.0,5.32
41,1991.0,5.41
42,1992.0,5.49
43,1993.0,5.58
44,1994.0,5.66
45,1995.0,5.74
46,1996.0,5.82
47,1997.0,5.9
48,1998.0,5.98
49,1999.0,6.05
50,2000.0,6.13
51,2001.0,6.2
52,2002.0,6.28
53,2003.0,6.36
54,2004.0,6.44
55,2005.0,6.51
56,2006.0,6.59
57,2007.0,6.67
58,2008.0,6.75
59,2009.0,6.83
60,2010.0,6.92
61,2011.0,7.0
62,2012.0,7.08
63,2013.0,7.16
64,2014.0,7.24
65,2015.0,7.32
66,2016.0,7.4
67,2017.0,7.48
68,2018.0,7.56
69,2019.0,7.64
70,2020.0,7.72
71,2021.0,7.79
72,2022.0,7.87
73,2023.0,7.94
74,2024.0,8.01
75,2025.0,8.08
76,2026.0,8.15
77,2027.0,8.22
78,2028.0,8.29
79,2029.0,8.36
80,2030.0,8.42
81,2031.0,8.49
82,2032.0,8.56
83,2033.0,8.62
84,2034.0,8.68
85,2035.0,8.74
86,2036.0,8.8
87,2037.0,8.86
88,2038.0,8.92
89,2039.0,8.98
90,2040.0,9.04
91,2041.0,9.09
92,2042.0,9.15
93,2043.0,9.2
94,2044.0,9.26
95,2045.0,9.31
96,2046.0,9.36
97,2047.0,9.41
98,2048.0,9.46
99,2049.0,9.5
100,2050.0,9.55
101,2051.0,9.6
102,2052.0,9.64
103,2053.0,9.68
104,2054.0,9.73
105,2055.0,9.77
106,2056.0,9.81
107,2057.0,9.85
108,2058.0,9.88
109,2059.0,9.92
110,2060.0,9.96
111,2061.0,9.99
112,2062.0,10.03
113,2063.0,10.06
114,2064.0,10.09
115,2065.0,10.13
116,2066.0,10.16
117,2067.0,10.19
118,2068.0,10.22
119,2069.0,10.25
120,2070.0,10.28
121,2071.0,10.31
122,2072.0,10.33
123,2073.0,10.36
124,2074.0,10.38
125,2075.0,10.41
126,2076.0,10.43
127,2077.0,10.46
128,2078.0,10.48
129,2079.0,10.5
130,2080.0,10.52
131,2081.0,10.55
132,2082.0,10.57
133,2083.0,10.59
134,2084.0,10.61
135,2085.0,10.63
136,2086.0,10.65
137,2087.0,10.66
138,2088.0,10.68
139,2089.0,10.7
140,2090.0,10.72
141,2091.0,10.73
142,2092.0,10.75
143,2093.0,10.77
144,2094.0,10.78
145,2095.0,10.79
146,2096.0,10.81
147,2097.0,10.82
148,2098.0,10.83
149,2099.0,10.84
150,2100.0,10.85
